words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators,frequency,quadrant
居家,17,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,2,17,Red Ocean (紅海詞)
屏東,10,1.0,1.3,0.0,0.2,0.0,0.0,1,10,Avoid (避開)
工作,91,3.0,33.08791208791209,1.0,2.1538461538461537,0.0,0.8901098901098901,12,91,Star (明星詞)
工作者,22,3.0,4.454545454545454,0.0,2.227272727272727,0.0,0.045454545454545456,3,22,Star (明星詞)
工具,25,2.0,5.6,0.0,0.28,0.0,0.52,6,25,Star (明星詞)
市場,32,2.0,7.3125,0.0,3.46875,0.0,0.15625,7,32,Star (明星詞)
布料,10,0.0,1.0,0.0,0.0,0.0,0.0,2,10,Avoid (避開)
希望,52,6.0,14.807692307692308,1.0,12.961538461538462,0.0,0.07692307692307693,15,52,Star (明星詞)
帳號,19,3.0,13.157894736842104,0.0,13.473684210526315,0.0,0.47368421052631576,8,19,Star (明星詞)
幫助,24,3.0,6.083333333333333,0.0,1.125,0.0,0.125,10,24,Star (明星詞)
幫忙,11,7.0,45.63636363636363,2.0,24.818181818181817,0.0,0.2727272727272727,7,11,Blue Ocean (藍海詞)
平台,18,2.0,9.777777777777779,0.0,1.0555555555555556,0.0,0.0,6,18,Star (明星詞)
年前,10,2.0,4.7,0.5,0.6,0.0,0.0,4,10,Blue Ocean (藍海詞)
幸福,10,4.5,23.5,0.0,1.8,0.0,0.1,8,10,Blue Ocean (藍海詞)
幾個,11,7.0,116.27272727272727,1.0,10.0,0.0,0.45454545454545453,7,11,Blue Ocean (藍海詞)
底下,22,3.0,11.636363636363637,1.0,10.5,0.0,0.7272727272727273,6,22,Star (明星詞)
廣告,36,7.0,13.833333333333334,1.0,3.2222222222222223,0.0,0.2222222222222222,7,36,Star (明星詞)
建立,19,1.0,4.052631578947368,0.0,0.5263157894736842,0.0,0.21052631578947367,5,19,Red Ocean (紅海詞)
建議,10,11.0,40.2,1.0,3.9,0.0,0.9,8,10,Blue Ocean (藍海詞)
影片,21,2.0,2.3333333333333335,0.0,0.38095238095238093,0.0,0.0,8,21,Star (明星詞)
影音,20,1.5,12.45,0.0,4.5,0.0,0.15,7,20,Red Ocean (紅海詞)
很快,17,2.0,11.411764705882353,3.0,11.823529411764707,0.0,0.17647058823529413,6,17,Star (明星詞)
得到,10,2.5,6.0,1.0,6.9,0.0,0.1,5,10,Blue Ocean (藍海詞)
徵人,25,4.0,57.2,0.0,7.08,0.0,0.08,2,25,Star (明星詞)
心情,10,1.5,7.9,0.0,3.7,0.0,0.0,8,10,Avoid (避開)
必備,14,0.5,1.3571428571428572,0.0,0.42857142857142855,0.0,0.07142857142857142,4,14,Avoid (避開)
快來,14,3.5,21.642857142857142,1.0,35.642857142857146,0.0,1.4285714285714286,6,14,Blue Ocean (藍海詞)
快樂,13,10.0,16.923076923076923,1.0,9.23076923076923,0.0,0.5384615384615384,12,13,Blue Ocean (藍海詞)
快速,23,1.0,4.782608695652174,0.0,1.0434782608695652,0.0,0.2608695652173913,9,23,Red Ocean (紅海詞)
思考,13,3.0,6.384615384615385,0.0,1.6153846153846154,0.0,0.07692307692307693,6,13,Blue Ocean (藍海詞)
急單,33,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,1,33,Red Ocean (紅海詞)
情緒,23,3.0,3.8260869565217392,0.0,1.434782608695652,0.0,0.2608695652173913,6,23,Star (明星詞)
想到,12,3.0,22.916666666666668,0.5,1.3333333333333333,0.0,0.08333333333333333,9,12,Blue Ocean (藍海詞)
想學,22,1.5,1.7272727272727273,0.0,0.18181818181818182,0.0,0.0,2,22,Red Ocean (紅海詞)
想法,14,5.5,11.857142857142858,0.5,7.428571428571429,0.0,0.2857142857142857,8,14,Blue Ocean (藍海詞)
想要,36,1.0,5.027777777777778,0.0,2.25,0.0,0.16666666666666666,12,36,Red Ocean (紅海詞)
感受,12,3.0,4.833333333333333,0.0,1.25,0.0,0.16666666666666666,5,12,Blue Ocean (藍海詞)
感謝,13,4.0,14.76923076923077,2.0,4.0,0.0,0.23076923076923078,9,13,Blue Ocean (藍海詞)
慢慢,19,3.0,17.105263157894736,1.0,7.631578947368421,0.0,0.10526315789473684,12,19,Star (明星詞)
應用,13,3.0,12.153846153846153,0.0,0.5384615384615384,0.0,0.9230769230769231,4,13,Blue Ocean (藍海詞)
懶人,11,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,2,11,Avoid (避開)
懷疑,12,3.5,26.5,0.0,0.8333333333333334,0.0,0.8333333333333334,5,12,Blue Ocean (藍海詞)
成功,12,2.0,14.5,1.0,2.0833333333333335,0.0,0.25,7,12,Blue Ocean (藍海詞)
成本,11,2.0,4.181818181818182,0.0,0.7272727272727273,0.0,0.36363636363636365,4,11,Blue Ocean (藍海詞)
成為,19,2.0,6.052631578947368,0.0,0.8947368421052632,0.0,0.15789473684210525,7,19,Star (明星詞)
成長,13,9.0,14.692307692307692,1.0,13.153846153846153,0.0,0.23076923076923078,9,13,Blue Ocean (藍海詞)
我會,19,3.0,11.263157894736842,1.0,7.473684210526316,0.0,0.2631578947368421,9,19,Star (明星詞)
截圖,50,0.0,9.04,0.0,0.0,0.0,0.92,4,50,Red Ocean (紅海詞)
才能,16,2.5,5.1875,0.0,1.25,0.0,0.125,9,16,Star (明星詞)
打造,11,2.0,3.5454545454545454,0.0,1.1818181818181819,0.0,0.2727272727272727,5,11,Blue Ocean (藍海詞)
批發,20,2.0,3.8,0.0,0.95,0.0,0.0,1,20,Star (明星詞)
找到,27,2.0,7.2592592592592595,0.0,6.37037037037037,0.0,0.037037037037037035,10,27,Star (明星詞)
技術,51,2.0,3.372549019607843,0.0,1.2549019607843137,0.0,0.0784313725490196,8,51,Star (明星詞)
把握,12,0.5,3.25,1.0,1.0,0.0,0.0,3,12,Avoid (避開)
拍照,19,0.0,2.8421052631578947,0.0,0.3684210526315789,0.0,0.2631578947368421,3,19,Red Ocean (紅海詞)
持續,35,4.0,13.685714285714285,0.0,13.314285714285715,0.0,0.14285714285714285,11,35,Star (明星詞)
指甲,23,0.0,1.2173913043478262,0.0,1.2173913043478262,0.0,0.13043478260869565,2,23,Red Ocean (紅海詞)
挑戰,10,5.5,6.8,2.5,2.3,0.0,0.1,5,10,Blue Ocean (藍海詞)
接受,23,2.0,14.652173913043478,0.0,0.6086956521739131,0.0,0.43478260869565216,7,23,Star (明星詞)
接案,24,7.0,30.583333333333332,2.0,5.416666666666667,0.0,0.125,5,24,Star (明星詞)
推薦,22,1.0,10.636363636363637,0.0,5.136363636363637,0.0,0.09090909090909091,11,22,Red Ocean (紅海詞)
提供,17,3.0,13.470588235294118,0.0,3.588235294117647,0.0,0.11764705882352941,9,17,Star (明星詞)
提出,13,0.0,1.1538461538461537,0.0,0.9230769230769231,0.0,0.0,3,13,Avoid (避開)
提升,26,1.0,2.1153846153846154,0.0,0.15384615384615385,0.0,0.11538461538461539,7,26,Red Ocean (紅海詞)
提高,11,3.0,8.818181818181818,0.0,2.1818181818181817,0.0,0.09090909090909091,4,11,Blue Ocean (藍海詞)
搭配,27,0.0,2.8518518518518516,0.0,0.8148148148148148,0.0,0.037037037037037035,4,27,Red Ocean (紅海詞)
操作,16,3.0,3.375,0.5,1.125,0.0,0.0625,6,16,Star (明星詞)
支持,20,3.0,13.0,0.0,1.95,0.0,0.15,10,20,Star (明星詞)
支援,10,6.5,20.5,0.5,37.0,0.0,0.2,4,10,Blue Ocean (藍海詞)
