words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators
爆單,17,49.0,65.82352941176471,65.0,86.3529411764706,1.0,2.823529411764706,4
爸爸,11,36.0,75.54545454545455,1.0,4.7272727272727275,0.0,0.09090909090909091,4
特定,48,0.0,1.375,0.0,0.5208333333333334,0.0,0.0,2
特色,16,19.0,29.875,2.0,4.1875,0.0,1.5,8
特質,10,7.0,99.6,0.0,6.9,0.0,0.1,5
狀態,16,18.0,27.8125,2.0,21.1875,0.0,0.25,9
狀況,21,24.0,48.904761904761905,2.0,13.142857142857142,0.0,0.9047619047619048,7
獲利,22,5.0,30.363636363636363,0.0,3.6818181818181817,0.0,0.8181818181818182,4
獲得,18,20.0,117.61111111111111,0.0,34.94444444444444,0.0,0.9444444444444444,8
珍惜,12,10.5,23.083333333333332,0.5,1.6666666666666667,0.0,0.16666666666666666,5
現場,25,12.0,42.56,2.0,3.0,0.0,1.0,9
現實,25,5.0,17.52,0.0,2.52,0.0,0.2,9
現貨,15,19.0,91.06666666666666,2.0,7.6,2.0,2.066666666666667,6
理解,32,21.5,47.03125,2.0,3.6875,0.0,1.03125,13
環境,16,22.0,78.875,2.0,9.0,0.0,0.3125,8
甜點,17,18.0,29.058823529411764,12.0,23.529411764705884,0.0,0.7647058823529411,5
生意,24,75.0,111.54166666666667,6.0,10.125,0.0,0.7083333333333334,12
生成,29,8.0,19.96551724137931,0.0,1.896551724137931,0.0,0.9655172413793104,10
生日,13,13.0,71.53846153846153,1.0,53.23076923076923,0.0,2.3846153846153846,7
生活,127,15.0,29.37795275590551,1.0,3.8661417322834644,0.0,0.7165354330708661,21
產品,85,21.0,74.51764705882353,2.0,21.976470588235294,0.0,2.9411764705882355,20
產業,11,9.0,79.45454545454545,3.0,3.4545454545454546,0.0,0.9090909090909091,8
用心,11,33.0,115.45454545454545,2.0,6.090909090909091,1.0,2.5454545454545454,8
用戶,16,5.0,6.0,0.0,0.0,0.0,0.0,5
申請,26,1.0,4.1923076923076925,0.0,0.34615384615384615,0.0,0.038461538461538464,4
留下,13,12.0,22.153846153846153,1.0,1.3846153846153846,0.0,0.07692307692307693,8
留給,10,10.5,28.9,0.5,1.8,0.0,0.7,7
留言,107,4.0,39.495327102803735,0.0,26.91588785046729,0.0,0.8691588785046729,22
畫面,31,23.0,90.96774193548387,2.0,2.5806451612903225,0.0,4.67741935483871,10
當下,20,33.5,167.35,1.0,7.4,0.0,0.55,9
當你,27,22.0,27.333333333333332,1.0,2.0,0.0,0.3333333333333333,10
當初,10,41.0,185.9,3.0,15.8,0.0,0.4,5
當成,11,4.0,25.181818181818183,1.0,0.5454545454545454,0.0,2.727272727272727,8
當時,25,46.0,260.52,11.0,17.84,1.0,2.68,8
當然,23,29.0,85.69565217391305,2.0,6.826086956521739,0.0,2.5652173913043477,16
發文,15,32.0,86.06666666666666,9.0,19.266666666666666,1.0,3.066666666666667,11
發現,129,19.0,75.05426356589147,2.0,7.852713178294573,0.0,3.0,25
發生,28,30.0,129.71428571428572,2.5,5.321428571428571,0.5,3.7857142857142856,11
目前,30,42.0,63.46666666666667,6.5,23.133333333333333,0.5,1.1666666666666667,16
目標,76,11.5,36.1578947368421,3.5,7.131578947368421,0.0,0.6447368421052632,11
目的,15,40.0,140.0,2.0,8.666666666666666,0.0,2.4,9
直到,22,22.5,54.59090909090909,3.5,7.590909090909091,0.0,0.7727272727272727,11
直接,81,11.0,52.48148148148148,0.0,7.617283950617284,0.0,1.0246913580246915,21
直播,13,12.0,29.23076923076923,5.0,5.0,0.0,0.5384615384615384,4
相信,36,31.5,65.22222222222223,2.0,13.61111111111111,0.0,4.222222222222222,15
相關,11,6.0,14.727272727272727,0.0,1.4545454545454546,0.0,0.18181818181818182,6
看來,11,15.0,44.0,3.0,5.545454545454546,0.0,0.7272727272727273,7
看看,31,13.0,31.35483870967742,2.0,3.5483870967741935,0.0,0.6774193548387096,15
看著,11,16.0,31.272727272727273,1.0,16.181818181818183,0.0,0.45454545454545453,7
看見,14,18.0,86.78571428571429,3.5,20.285714285714285,0.0,1.5,10
看起,20,37.5,127.65,3.0,7.65,1.0,3.85,12
看過,16,18.0,76.9375,2.0,6.625,1.0,2.3125,14
真實,34,13.5,76.73529411764706,2.5,14.117647058823529,0.5,2.411764705882353,16
真心,17,12.0,63.11764705882353,0.0,17.88235294117647,1.0,0.8823529411764706,8
睡覺,10,18.0,134.7,4.5,7.8,0.0,0.1,6
瞬間,27,11.0,56.629629629629626,1.0,4.666666666666667,0.0,1.8148148148148149,15
知識,14,15.0,23.285714285714285,0.5,1.2142857142857142,0.0,0.5,8
研發,38,0.0,2.6315789473684212,0.0,0.6052631578947368,0.0,0.0,2
研究,18,15.5,18.77777777777778,2.5,2.7222222222222223,0.0,0.2777777777777778,12
社群,30,20.0,57.5,2.0,4.966666666666667,0.0,1.0,12
神霧,13,9.0,25.692307692307693,3.0,3.0,0.0,0.0,1
禮拜,11,29.0,65.0909090909091,8.0,12.090909090909092,0.0,2.4545454545454546,7
禮物,10,14.0,51.1,1.0,29.0,0.0,1.8,8
禮盒,20,18.0,56.45,2.0,3.05,1.0,2.5,4
私訊,46,3.5,45.23913043478261,0.0,8.08695652173913,0.0,1.326086956521739,17
